"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Total, field of study","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664676452","1.3.1.1.2.1.4.1","20020","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Total, field of study","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664676453","1.3.1.1.2.1.4.2","36300","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Total, field of study","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664676454","1.3.1.1.2.1.4.3","45300","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Education [1]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664685842","1.3.2.1.2.1.4.1","450","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Education [1]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664685843","1.3.2.1.2.1.4.2","29800","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Education [1]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664685844","1.3.2.1.2.1.4.3","33300","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664686085","1.3.4.1.2.1.4.1","590","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664686086","1.3.4.1.2.1.4.2","18100","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664686087","1.3.4.1.2.1.4.3","28900","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Humanities [3]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664686328","1.3.7.1.2.1.4.1","520","","","","0"
